,artist,song
19789,Luke Bryan,Waves
19792,"Tyler, The Creator",Lumberjack
19793,Tate McRae X Khalid,Working
19798,Elvie Shane,My Boy
19804,Ed Sheeran,Bad Habits
19810,Doja Cat & The Weeknd,You Right
19813,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",WUSYANAME
19823,Doja Cat,Ain't Shit
19839,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",Juggernaut
19840,Nio Garcia X J Balvin X Bad Bunny,AM
19841,"Tyler, The Creator Featuring 42 Dugg",Lemonhead
19847,"Tyler, The Creator Featuring Lil Wayne",Hot Wind Blows
19850,DaBaby,Red Light Green Light
19854,"Tyler, The Creator",Corso
19856,Doja Cat Featuring Ariana Grande,I Don't Do Drugs
19858,"Tyler, The Creator Featuring DJ Drama",Sir Baudelaire
19859,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",Sweet / I Thought You Wanted To Dance
19865,"Tyler, The Creator",Massa
19867,"Tyler, The Creator Featuring Teezo Touchdown",RunItUp
19877,Maneskin,Beggin'
19883,"Tyler, The Creator Featuring Domo Genesis",Manifesto
19887,Doja Cat,Woman
19892,Doja Cat,Get Into It (Yuh)
19894,"Tyler, The Creator",Wilshire
19898,"Tyler, The Creator Featuring Daisy World",Rise!
19913,Aaron Lewis,Am I The Only One
19948,Brent Faiyaz Featuring Drake,Wasting Time
19972,Big Red Machine Featuring Taylor Swift,Renegade
19980,G Herbo Featuring Polo G & Lil Tjay,Cry No More
19981,Wizkid Featuring Justin Bieber & Tems,Essence
19982,Tai Verdes,A-O-K
19989,Chris Stapleton,You Should Probably Leave
19990,Old Dominion,I Was On A Boat That Day
19994,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name
20000,BTS,Permission To Dance
20002,The Kid LAROI & Justin Bieber,Stay
20012,Post Malone,Motley Crew
20015,BIA Featuring Nicki Minaj,Whole Lotta Money
20038,Billie Eilish,NDA
20049,Kane Brown X blackbear,Memory
20077,Bas With J. Cole & Lil TJay,The Jackie
20088,"Mora, Bad Bunny & Sech",Volando
20093,Bad Bunny,De Museo
20099,Carly Pearce,Next Girl
20113,Normani Featuring Cardi B,Wild Side
20148,Pop Smoke Featuring Kanye West & Pusha T,Tell The Vision
20149,Trippie Redd Featuring Lil Uzi Vert,Holy Smokes
20153,Pop Smoke Featuring 21 Savage & 42 Dugg,Bout A Million
20163,Pop Smoke Featuring Chris Brown,Woo Baby
20170,Pop Smoke Featuring Future,Mr. Jones
20179,Pop Smoke,More Time
20181,Pop Smoke Featuring Rick Ross & The-Dream,Manslaughter
20185,Pop Smoke Featuring Dua Lipa,Demeanor
20186,Sleepy Hallow,2055
20188,Dua Lipa,Love Again
20196,Pop Smoke Featuring Bizzy Banks,30
0,Cardi B,Bodak Yellow
2,Luis Fonsi,Despacito (feat. Daddy Yankee)
3,Yo Gotti,Rake It Up (feat. Nicki Minaj)
5,Logic,1-800-273-8255 (feat. Alessia Cara & Khalid)
7,Gucci Mane,I Get the Bag (feat. Migos)
10,French Montana,Unforgettable (feat. Swae Lee)
11,J Balvin & Willy William,Mi Gente (J Balvin & Willy William)
15,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller)
16,Ayo & Teo,Rolex
